Veloc,Acele,Des_x,Des_y,Des_z,Presn,VelPr,AcePr,F5EEX,F6EES,F8EIX,F7EIS,F9EEX,F10ES,F11EX,F12ES,F13EV,F14EV,F17MS,F18MX,F15MS,F16MX,F19MH,F20MH,F1EBX,F2EBS,F4EBX,F3EBS,01_C,02_A,03_D,04_M
0.04084804,0.03760067,0.01942457,0.07170395,0.07970704,0.39901478,0.06451613,0.13636364,0.25851849,0.20540202,0.21524053,0.21623605,0.23439086,0.29420191,0.24616126,0.33861538,0.58950010,0.57399831,0.41053454,0.43209535,0.41765017,0.59359825,0.50622866,0.51255879,0.52077685,0.41566075,0.46413438,0.40994318,-1,1,-1,-1
0.03426604,0.03303814,0.01589969,0.05671200,0.07581191,0.40394089,0.09677419,0.09090909,0.23839143,0.18419809,0.20138983,0.20769995,0.22030024,0.27417708,0.24049418,0.33259129,0.57611855,0.55390544,0.42459270,0.41627446,0.45354306,0.59167243,0.51044326,0.51061165,0.57171222,0.43373503,0.44358256,0.45049975,-1,1,-1,-1
0.03354777,0.02929182,0.01837329,0.05221822,0.07543221,0.40886700,0.06451613,0.09090909,0.23259234,0.17524009,0.20205703,0.21174057,0.22544464,0.27296599,0.24735101,0.33834905,0.57516764,0.54801275,0.44328808,0.41245366,0.46160122,0.59376753,0.50927788,0.53142547,0.56206050,0.44414652,0.45135035,0.44958555,-1,1,-1,-1
0.02028651,0.02230089,0.01366667,0.03573902,0.04205821,0.40394089,0.09677419,0.13636364,0.25056837,0.19416276,0.22186477,0.23850476,0.23718211,0.27645582,0.27194672,0.35534991,0.57467990,0.55252595,0.45157643,0.40574899,0.46291680,0.58674748,0.51162437,0.51961925,0.59763281,0.45015869,0.42728869,0.44983100,-1,1,-1,-1
0.02463576,0.02566518,0.02177781,0.04027873,0.04007837,0.39901478,0.09677419,0.18181818,0.27936791,0.22438215,0.25230974,0.27306806,0.26850946,0.30764297,0.30549594,0.38619076,0.57290037,0.56231001,0.46485200,0.40216639,0.45816724,0.57809975,0.51702569,0.50177914,0.60377560,0.47131892,0.40969260,0.45540608,-1,1,-1,-1
0.02193643,0.02542036,0.01902947,0.03750728,0.03911845,0.39408867,0.09677419,0.13636364,0.30688243,0.25460257,0.30126984,0.32002635,0.31282273,0.35611149,0.36084805,0.43479033,0.58698526,0.59174793,0.50277669,0.42813657,0.47828977,0.58515672,0.53891171,0.55512985,0.57103573,0.50004949,0.43189721,0.49210715,-1,1,-1,-1
0.03076382,0.02098994,0.02436359,0.05361587,0.04936965,0.38916256,0.06451613,0.13636364,0.35079224,0.27823516,0.34562051,0.35972675,0.36062503,0.39214656,0.40509237,0.48803855,0.61585418,0.61031521,0.53120729,0.44920923,0.47345733,0.59194667,0.55419901,0.56119727,0.54840381,0.50515133,0.43668551,0.48848539,-1,1,-1,-1
0.02461290,0.01529338,0.01817953,0.05045029,0.03319897,0.38916256,0.03225806,0.09090909,0.39350189,0.31481432,0.38287791,0.39469374,0.40137561,0.44018562,0.44834156,0.54347814,0.63555644,0.63948735,0.52474127,0.46845993,0.45725168,0.59607247,0.56591043,0.53668358,0.55091591,0.50282098,0.44780375,0.48943952,-1,1,-1,-1
0.05153934,0.03028800,0.02876761,0.09595321,0.07562410,0.38916256,0.06451613,0.09090909,0.42206009,0.34906075,0.40647798,0.41426879,0.43569452,0.48132768,0.46100513,0.56280374,0.64172883,0.65525082,0.53050846,0.48942768,0.44755170,0.59377894,0.57999314,0.51313160,0.54922368,0.48026542,0.44355039,0.46121720,-1,1,-1,-1
0.05858294,0.03908407,0.03621901,0.09913442,0.09398102,0.38423645,0.06451613,0.04545455,0.43954207,0.36873426,0.41220392,0.41889653,0.44473877,0.50511043,0.46574399,0.57053577,0.64711277,0.66840201,0.53984401,0.50480965,0.45446500,0.58748963,0.59435841,0.49042588,0.53508644,0.47552098,0.39859759,0.42666869,-1,1,-1,-1
0.04844342,0.04377062,0.02907787,0.08097092,0.08632836,0.38916256,0.09677419,0.04545455,0.44202814,0.37085512,0.40310131,0.40848935,0.46648321,0.52985832,0.45604963,0.57003810,0.64652889,0.66102177,0.54332657,0.52246924,0.43967471,0.59218303,0.60489193,0.47661931,0.47708493,0.47709124,0.40571349,0.41612529,-1,1,-1,-1
0.05437348,0.04762426,0.02812243,0.09732910,0.10116024,0.39408867,0.09677419,0.09090909,0.44706123,0.36201413,0.39139601,0.39256504,0.46889876,0.52329753,0.43933580,0.54723106,0.65320077,0.66351365,0.54842287,0.53916153,0.43527548,0.59727727,0.61070233,0.48187772,0.44462300,0.48180618,0.37130263,0.39155352,-1,1,-1,-1
0.05003528,0.04831302,0.02502750,0.09021759,0.09641132,0.39901478,0.09677419,0.09090909,0.42837074,0.35684114,0.36391700,0.36121368,0.43246527,0.49827094,0.39347872,0.51583342,0.64809182,0.65574891,0.52839082,0.52476671,0.40900020,0.57765839,0.59075566,0.47756428,0.46084650,0.47880750,0.29708703,0.36492560,-1,1,-1,-1
0.05569335,0.03567405,0.03239858,0.09858818,0.09803135,0.39901478,0.12903226,0.09090909,0.42476661,0.38149998,0.36287487,0.35908205,0.41464040,0.50926510,0.38664710,0.49930632,0.64797677,0.65673770,0.52278403,0.52425922,0.41578843,0.57180367,0.59331400,0.46122544,0.45919529,0.48195623,0.25964855,0.34973379,-1,1,-1,-1
0.04655635,0.02818479,0.03446370,0.04855603,0.09199726,0.40394089,0.12903226,0.09090909,0.40920291,0.36881862,0.34856524,0.34567230,0.38510611,0.47677830,0.36556214,0.46622851,0.65092966,0.65479752,0.53293834,0.52097995,0.40460790,0.56220870,0.58794086,0.46749803,0.44252773,0.50023281,0.19803321,0.31992196,-1,1,-1,-1
